https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1637938800000,2021-11-26 15:00:00,DAI/USD,0.99999,1.0003,0.99966,1.0001,468.288474134997,468.24164996999997
1637935200000,2021-11-26 14:00:00,DAI/USD,0.99999,1.0,0.9994,0.99973,617.0504709177242,617.21711954
1637931600000,2021-11-26 13:00:00,DAI/USD,0.99944,1.0027,0.9988,0.99946,17260.70732216437,17270.03314006
1637928000000,2021-11-26 12:00:00,DAI/USD,0.99982,1.0002,0.99944,0.99999,588.2399188319872,588.24580129
1637924400000,2021-11-26 11:00:00,DAI/USD,0.99989,1.0008,0.9995,1.0001,6201.195625166761,6200.57556761
1637920800000,2021-11-26 10:00:00,DAI/USD,1.0001,1.0003,0.99973,0.9999,796.646877504984,796.72655016
1637917200000,2021-11-26 09:00:00,DAI/USD,1.0002,1.0002,0.99981,1.0002,105.486297700932,105.46520466
1637913600000,2021-11-26 08:00:00,DAI/USD,1.0012,1.0012,0.99908,1.0002,7322.308546995624,7320.84437812
1637910000000,2021-11-26 07:00:00,DAI/USD,1.0002,1.0012,0.9999,1.0012,6090.23664803819,6082.937123490001
1637906400000,2021-11-26 06:00:00,DAI/USD,1.0004,1.0006,0.99952,0.99991,210.73217841685818,210.75114602
1637902800000,2021-11-26 05:00:00,DAI/USD,1.0003,1.0004,1.0001,1.0003,300.788355103698,300.69814566
1637899200000,2021-11-26 04:00:00,DAI/USD,0.99999,1.0004,0.99901,1.0001,576.6988309766859,576.64116686
1637895600000,2021-11-26 03:00:00,DAI/USD,0.99976,1.0002,0.99951,1.0001,195.028406450556,195.00890556
1637892000000,2021-11-26 02:00:00,DAI/USD,0.99991,1.0004,0.9993,0.99981,992.6028724944529,992.79150288
1637888400000,2021-11-26 01:00:00,DAI/USD,1.0005,1.0007,0.9992,0.99991,7344.960045946334,7345.62115185
1637884800000,2021-11-26 00:00:00,DAI/USD,1.0007,1.0008,1.0004,1.0006,258.35882685270593,258.20390451
1637881200000,2021-11-25 23:00:00,DAI/USD,1.0007,1.0014,1.0002,1.0007,1203.195465312348,1202.35381764
1637877600000,2021-11-25 22:00:00,DAI/USD,1.0008,1.0008,1.0003,1.0005,425.88445377898495,425.67161797
1637874000000,2021-11-25 21:00:00,DAI/USD,1.0004,1.0009,0.9989,1.0004,3189.43057242412,3188.1553103
1637870400000,2021-11-25 20:00:00,DAI/USD,1.0003,1.0005,0.99961,1.0004,1711.8895676342397,1711.2050855999998
1637866800000,2021-11-25 19:00:00,DAI/USD,1.0002,1.0011,0.9995,0.99991,3264.97181508799,3265.265689
1637863200000,2021-11-25 18:00:00,DAI/USD,1.0004,1.0006,0.99951,1.0002,732.694813980864,732.5483043199999
1637859600000,2021-11-25 17:00:00,DAI/USD,1.0004,1.0006,1.0003,1.0005,399.680228874315,399.48048863
1637856000000,2021-11-25 16:00:00,DAI/USD,1.0002,1.0008,0.9989,1.0003,1119.017563957811,1118.68195937
1637852400000,2021-11-25 15:00:00,DAI/USD,1.0003,1.0005,1.0002,1.0005,646.0528141946099,645.72994922
1637848800000,2021-11-25 14:00:00,DAI/USD,1.0001,1.0006,0.99996,1.0002,855.39790772247,855.22686235
1637845200000,2021-11-25 13:00:00,DAI/USD,1.0004,1.0004,0.99944,0.99978,216.901985012931,216.94971395
1637841600000,2021-11-25 12:00:00,DAI/USD,1.0001,1.0005,0.9999,0.99996,189.4068792617664,189.41445584
1637838000000,2021-11-25 11:00:00,DAI/USD,1.0001,1.0003,0.99979,1.0003,317.516733682169,317.42150723
1637834400000,2021-11-25 10:00:00,DAI/USD,1.0004,1.0008,0.9986,1.0,619.75268518,619.75268518
1637830800000,2021-11-25 09:00:00,DAI/USD,1.0002,1.0004,0.99981,1.0004,137.50286020242,137.44788105
1637827200000,2021-11-25 08:00:00,DAI/USD,1.0003,1.0003,1.0001,1.0001,51.178870585321,51.17375321
1637823600000,2021-11-25 07:00:00,DAI/USD,1.0003,1.0005,0.99993,1.0004,52.603296535451996,52.58226363
1637820000000,2021-11-25 06:00:00,DAI/USD,0.99983,1.0007,0.9995,0.99997,289.600327429529,289.6090157
1637816400000,2021-11-25 05:00:00,DAI/USD,1.0002,1.0003,0.99947,0.99983,394.4070327841254,394.47409338
1637812800000,2021-11-25 04:00:00,DAI/USD,0.99991,1.0003,0.99961,0.99969,410.90660000362953,411.03402055000004
1637809200000,2021-11-25 03:00:00,DAI/USD,1.0002,1.0004,0.99956,1.0001,294.798398132124,294.76892124
1637805600000,2021-11-25 02:00:00,DAI/USD,1.0005,1.0005,0.9997,0.9997,236.256327572278,236.32722574
1637802000000,2021-11-25 01:00:00,DAI/USD,1.0002,1.0005,0.99995,1.0004,291.878851978848,291.76214712
1637798400000,2021-11-25 00:00:00,DAI/USD,1.0001,1.0005,0.9983,1.0001,10651.497325198196,10650.43228197
1637794800000,2021-11-24 23:00:00,DAI/USD,1.0001,1.0003,1.0001,1.0003,332.783835939219,332.68403073
1637791200000,2021-11-24 22:00:00,DAI/USD,1.0002,1.0004,0.9993,1.0003,1253.1374571786068,1252.76162869
1637787600000,2021-11-24 21:00:00,DAI/USD,1.0004,1.0004,1.0001,1.0002,186.283997669664,186.24674832
1637784000000,2021-11-24 20:00:00,DAI/USD,1.0004,1.0004,1.0001,1.0002,379.824225625194,379.74827597
1637780400000,2021-11-24 19:00:00,DAI/USD,1.0003,1.0005,1.0001,1.0002,571.089931477266,570.97573633
1637776800000,2021-11-24 18:00:00,DAI/USD,1.0002,1.0022,0.99998,1.0004,25334.674517339783,25324.54469946
1637773200000,2021-11-24 17:00:00,DAI/USD,1.0001,1.0003,0.9994,1.0001,910.562771222405,910.47172405
1637769600000,2021-11-24 16:00:00,DAI/USD,1.0002,1.0002,0.9994,1.0001,1449.032445325657,1448.88755657
1637766000000,2021-11-24 15:00:00,DAI/USD,1.0,1.0002,0.99961,0.9997,523.88730324502,524.0445166
1637762400000,2021-11-24 14:00:00,DAI/USD,0.99999,1.0002,0.9991,0.9997,4140.076235360715,4141.31863095
1637758800000,2021-11-24 13:00:00,DAI/USD,0.99961,1.0,0.9996,0.99999,979.2497088949852,979.25950149
1637755200000,2021-11-24 12:00:00,DAI/USD,1.0006,1.0007,0.9988,0.99999,1298.5132358977885,1298.52622116
1637751600000,2021-11-24 11:00:00,DAI/USD,1.0,1.001,0.9999,1.0006,23859.856511239035,23845.54918173
1637748000000,2021-11-24 10:00:00,DAI/USD,1.0,1.0,0.99916,0.99986,173.9375267566012,173.96188142
1637744400000,2021-11-24 09:00:00,DAI/USD,1.0001,1.0001,0.99961,1.0,148.01981058,148.01981058
1637740800000,2021-11-24 08:00:00,DAI/USD,0.99925,1.0001,0.99905,0.99951,53.719744120947,53.746079699999996
1637737200000,2021-11-24 07:00:00,DAI/USD,0.99942,1.0,0.99932,0.99979,84.99765490328639,85.01550816
1637733600000,2021-11-24 06:00:00,DAI/USD,0.99925,1.0002,0.99916,0.99919,420.8039851187454,421.14511266
1637730000000,2021-11-24 05:00:00,DAI/USD,0.99956,1.0001,0.99925,0.99932,282.29618922874323,282.48828126
1637726400000,2021-11-24 04:00:00,DAI/USD,0.99942,1.0,0.99891,0.99999,278.2883936682342,278.29117658
1637722800000,2021-11-24 03:00:00,DAI/USD,1.0002,1.0002,0.9973,0.99942,8217.830672467404,8222.59978034
1637719200000,2021-11-24 02:00:00,DAI/USD,0.9998,1.0003,0.9987,1.0002,3153.062052073152,3152.43156576
1637715600000,2021-11-24 01:00:00,DAI/USD,1.0003,1.0004,0.997,0.99996,20245.320622371295,20246.13046759
1637712000000,2021-11-24 00:00:00,DAI/USD,0.99981,1.0004,0.9988,1.0003,252.066050896128,251.99045376
1637708400000,2021-11-23 23:00:00,DAI/USD,1.0001,1.0001,0.9998,1.0001,225.732228285732,225.70965732
1637704800000,2021-11-23 22:00:00,DAI/USD,1.0001,1.0001,0.99803,0.99984,362.06895713640955,362.12689744
1637701200000,2021-11-23 21:00:00,DAI/USD,0.99996,1.0001,0.9987,0.9999,393.994566353025,394.03396975
1637697600000,2021-11-23 20:00:00,DAI/USD,0.99961,1.0001,0.998,0.99965,1364.0396535778866,1364.51723461
1637694000000,2021-11-23 19:00:00,DAI/USD,0.99981,0.99981,0.9994,0.99941,369.9925060010345,370.21093045
1637690400000,2021-11-23 18:00:00,DAI/USD,0.99962,0.99981,0.9989,0.99981,729.7472269879911,729.88590531
1637686800000,2021-11-23 17:00:00,DAI/USD,0.99969,1.0001,0.99883,0.9998,2871.304663302178,2871.87903911
1637683200000,2021-11-23 16:00:00,DAI/USD,0.99969,0.9997,0.99932,0.99968,650.1729078204801,650.38102975
1637679600000,2021-11-23 15:00:00,DAI/USD,0.9997,0.9997,0.99922,0.99969,1011.9897633109998,1012.30357742
1637676000000,2021-11-23 14:00:00,DAI/USD,0.99969,0.9997,0.99923,0.99969,617.7296740888023,617.92122967
1637672400000,2021-11-23 13:00:00,DAI/USD,0.9996,0.9997,0.99921,0.99943,965.4326152013853,965.98322564
1637668800000,2021-11-23 12:00:00,DAI/USD,0.99969,0.9997,0.99934,0.9996,266.702403009336,266.80912666
1637665200000,2021-11-23 11:00:00,DAI/USD,1.0,1.0,0.9992,0.99969,5904.080411414391,5905.9112439
1637661600000,2021-11-23 10:00:00,DAI/USD,1.0001,1.0001,1.0,1.0,293.42514882,293.42514882
1637658000000,2021-11-23 09:00:00,DAI/USD,0.99989,1.0001,0.99687,1.0001,46162.616069276926,46158.00026925
1637654400000,2021-11-23 08:00:00,DAI/USD,0.99999,1.0,0.99956,0.99957,405.7068500969913,405.88137909
1637650800000,2021-11-23 07:00:00,DAI/USD,0.9993,1.0,0.99905,0.99999,838.705855757571,838.7142429
1637647200000,2021-11-23 06:00:00,DAI/USD,1.0001,1.0001,0.9989,0.99912,7132.225714480971,7138.50760117
1637643600000,2021-11-23 05:00:00,DAI/USD,1.0,1.0001,1.0,1.0,237.36161649,237.36161649
1637640000000,2021-11-23 04:00:00,DAI/USD,1.0,1.0001,1.0,1.0,814.36590126,814.36590126
1637636400000,2021-11-23 03:00:00,DAI/USD,1.0001,1.0001,1.0,1.0,387.40328519,387.40328519
1637632800000,2021-11-23 02:00:00,DAI/USD,1.0001,1.0005,1.0,1.0,342.62673605,342.62673605
1637629200000,2021-11-23 01:00:00,DAI/USD,1.0002,1.0005,1.0001,1.0005,480.00430054917,479.76441834
1637625600000,2021-11-23 00:00:00,DAI/USD,1.0002,1.0004,0.99998,1.0002,2381.82126204861,2381.34499305
1637622000000,2021-11-22 23:00:00,DAI/USD,1.0003,1.0005,0.9995,1.0004,3935.0474611285995,3933.4740715
1637618400000,2021-11-22 22:00:00,DAI/USD,1.0002,1.0004,0.9999,1.0001,288.30324664192,288.2744192
1637614800000,2021-11-22 21:00:00,DAI/USD,1.0004,1.0005,1.0001,1.0002,291.917941553928,291.85956964
1637611200000,2021-11-22 20:00:00,DAI/USD,1.0008,1.0008,0.9992,1.0001,41061.07889514978,41056.97319783
1637607600000,2021-11-22 19:00:00,DAI/USD,1.0005,1.0007,1.0005,1.0007,2869.518845951488,2867.51158784
1637604000000,2021-11-22 18:00:00,DAI/USD,1.0003,1.0006,1.0001,1.0006,13533.20366441675,13525.08861125
1637600400000,2021-11-22 17:00:00,DAI/USD,1.0004,1.0004,0.99983,1.0003,939.3577651426989,939.07604233
1637596800000,2021-11-22 16:00:00,DAI/USD,1.0005,1.0005,1.0,1.0002,3294.117443880426,3293.45875213
1637593200000,2021-11-22 15:00:00,DAI/USD,1.0004,1.0008,1.0004,1.0006,33928.35050185906,33908.00569844
