https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1556305200,2019-04-26 19:00:00,REP/USD,22.55,22.55,22.55,22.55,0.0,0.0
1556301600,2019-04-26 18:00:00,REP/USD,22.96,22.96,22.55,22.55,382.21,16.95
1556298000,2019-04-26 17:00:00,REP/USD,22.59,22.96,22.49,22.96,159.84,7.023
1556294400,2019-04-26 16:00:00,REP/USD,22.89,22.89,22.59,22.59,2980.36,131.92
1556290800,2019-04-26 15:00:00,REP/USD,22.89,22.89,22.89,22.89,0.0,0.0
1556287200,2019-04-26 14:00:00,REP/USD,21.66,22.89,21.66,22.89,57.21,2.5
1556283600,2019-04-26 13:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556280000,2019-04-26 12:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556276400,2019-04-26 11:00:00,REP/USD,21.8,21.8,21.66,21.66,1774.51,81.92
1556272800,2019-04-26 10:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1556269200,2019-04-26 09:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1556265600,2019-04-26 08:00:00,REP/USD,21.19,21.8,21.19,21.8,544.95,25.0
1556262000,2019-04-26 07:00:00,REP/USD,21.65,21.65,21.19,21.19,637.65,30.0
1556258400,2019-04-26 06:00:00,REP/USD,21.79,21.79,21.65,21.65,283.24,13.08
1556254800,2019-04-26 05:00:00,REP/USD,21.79,21.79,21.79,21.79,0.0,0.0
1556251200,2019-04-26 04:00:00,REP/USD,21.29,21.79,21.29,21.79,44.6,2.047
1556247600,2019-04-26 03:00:00,REP/USD,22.8,22.8,21.29,21.29,13.93,0.6534
1556244000,2019-04-26 02:00:00,REP/USD,22.8,22.8,22.8,22.8,0.0,0.0
1556240400,2019-04-26 01:00:00,REP/USD,20.9,22.8,20.9,22.8,36.43,1.655
1556236800,2019-04-26 00:00:00,REP/USD,20.9,20.9,20.9,20.9,0.0,0.0
1556233200,2019-04-25 23:00:00,REP/USD,20.9,20.9,20.9,20.9,0.0,0.0
1556229600,2019-04-25 22:00:00,REP/USD,22.44,22.44,20.9,20.9,5578.54,266.44
1556226000,2019-04-25 21:00:00,REP/USD,23.1,23.1,22.44,22.44,8.953,0.399
1556222400,2019-04-25 20:00:00,REP/USD,23.12,23.12,23.1,23.1,11.55,0.5
1556218800,2019-04-25 19:00:00,REP/USD,22.32,23.12,22.32,23.12,99.98,4.325
1556215200,2019-04-25 18:00:00,REP/USD,22.79,22.79,22.32,22.32,166.64,7.467
1556211600,2019-04-25 17:00:00,REP/USD,23.0,23.0,22.79,22.79,5.175,0.2271
1556208000,2019-04-25 16:00:00,REP/USD,23.0,23.0,23.0,23.0,0.00735,0.0003195
1556204400,2019-04-25 15:00:00,REP/USD,21.66,23.0,21.66,23.0,275.99,12.0
1556200800,2019-04-25 14:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556197200,2019-04-25 13:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556193600,2019-04-25 12:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556190000,2019-04-25 11:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556186400,2019-04-25 10:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556182800,2019-04-25 09:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1556179200,2019-04-25 08:00:00,REP/USD,21.56,21.66,21.56,21.66,216.59,10.0
1556175600,2019-04-25 07:00:00,REP/USD,21.93,21.93,21.56,21.56,863.71,40.0
1556172000,2019-04-25 06:00:00,REP/USD,21.93,21.93,21.93,21.93,0.0,0.0
1556168400,2019-04-25 05:00:00,REP/USD,21.93,21.93,21.93,21.93,0.0,0.0
1556164800,2019-04-25 04:00:00,REP/USD,21.93,21.93,21.93,21.93,0.0,0.0
1556161200,2019-04-25 03:00:00,REP/USD,21.93,21.93,21.93,21.93,0.0,0.0
1556157600,2019-04-25 02:00:00,REP/USD,21.57,21.93,21.57,21.93,4.385,0.2
1556154000,2019-04-25 01:00:00,REP/USD,21.57,21.57,21.57,21.57,0.0,0.0
1556150400,2019-04-25 00:00:00,REP/USD,21.57,21.57,21.57,21.57,0.0,0.0
1556146800,2019-04-24 23:00:00,REP/USD,22.59,22.59,21.57,21.57,66.02,3.014
1556143200,2019-04-24 22:00:00,REP/USD,22.59,22.59,22.59,22.59,0.0,0.0
1556139600,2019-04-24 21:00:00,REP/USD,22.59,22.59,22.59,22.59,0.0,0.0
1556136000,2019-04-24 20:00:00,REP/USD,21.01,22.59,21.01,22.59,11.29,0.5
1556132400,2019-04-24 19:00:00,REP/USD,20.79,21.01,20.79,21.01,104.94,4.995
1556128800,2019-04-24 18:00:00,REP/USD,20.79,20.79,20.79,20.79,0.0,0.0
1556125200,2019-04-24 17:00:00,REP/USD,20.99,20.99,20.79,20.79,50.65,2.436
1556121600,2019-04-24 16:00:00,REP/USD,20.42,20.99,20.42,20.99,266.77,12.71
1556118000,2019-04-24 15:00:00,REP/USD,20.42,20.42,20.42,20.42,0.0,0.0
1556114400,2019-04-24 14:00:00,REP/USD,20.42,20.42,20.42,20.42,0.0,0.0
1556110800,2019-04-24 13:00:00,REP/USD,20.42,20.42,20.42,20.42,0.0,0.0
1556107200,2019-04-24 12:00:00,REP/USD,20.42,20.42,20.42,20.42,0.0,0.0
1556103600,2019-04-24 11:00:00,REP/USD,20.42,20.42,20.42,20.42,0.0,0.0
1556100000,2019-04-24 10:00:00,REP/USD,21.0,21.0,20.4,20.42,20.39,0.999
1556096400,2019-04-24 09:00:00,REP/USD,21.0,21.0,21.0,21.0,0.0,0.0
1556092800,2019-04-24 08:00:00,REP/USD,21.0,21.0,21.0,21.0,0.0,0.0
1556089200,2019-04-24 07:00:00,REP/USD,21.42,21.42,21.0,21.0,411.74,19.61
1556085600,2019-04-24 06:00:00,REP/USD,21.42,21.42,21.42,21.42,0.0,0.0
1556082000,2019-04-24 05:00:00,REP/USD,21.42,21.42,21.42,21.42,0.0,0.0
1556078400,2019-04-24 04:00:00,REP/USD,21.82,21.82,21.42,21.42,148.86,6.95
1556074800,2019-04-24 03:00:00,REP/USD,21.82,21.82,21.82,21.82,0.0,0.0
1556071200,2019-04-24 02:00:00,REP/USD,21.82,21.82,21.82,21.82,0.0,0.0
1556067600,2019-04-24 01:00:00,REP/USD,21.82,21.82,21.82,21.82,0.0,0.0
1556064000,2019-04-24 00:00:00,REP/USD,21.82,21.82,21.82,21.82,0.0,0.0
1556060400,2019-04-23 23:00:00,REP/USD,21.82,21.82,21.82,21.82,0.0,0.0
1556056800,2019-04-23 22:00:00,REP/USD,22.25,22.25,21.82,21.82,45.82,2.1
1556053200,2019-04-23 21:00:00,REP/USD,22.2,22.25,22.2,22.25,8.898,0.4
1556049600,2019-04-23 20:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556046000,2019-04-23 19:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556042400,2019-04-23 18:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556038800,2019-04-23 17:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556035200,2019-04-23 16:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556031600,2019-04-23 15:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556028000,2019-04-23 14:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556024400,2019-04-23 13:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556020800,2019-04-23 12:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
